"","Tributary","ReachName","ReachID","Crew","Survey","Fishing","Visibility","Weather","Comments","Date","Season","Year","CohoIndividuals","SteelheadIndividuals","ChinookIndividuals","SalmonidSpIndividuals","CohoRedds","SteelheadRedds","ChinookRedds","SalmonidSpRedds"
"1","Sheephouse Creek","SHE 1","RR-SHE-000.00:003.55","NB HF","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS. STAFF at 1.64",2015-01-02,"2014-2015",2015,0,0,0,0,0,0,0,0
"2","Woods Creek","WOO 1","RR-DEA-000.00:001.03","SW ZR","SS",NA,99,"OVERCAST",NA,2015-01-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"3","Mill Creek","MIL 2","RR-MIL-003.03:005.75","ZR BW TB","SS",NA,-9999,"CLEAR SUNNY",NA,2015-01-06,"2014-2015",2015,0,0,0,0,0,0,0,0
"4","Mill Creek","MIL 3","RR-MIL-005.75:009.98","HF MH ZS","SS",NA,99,"CLEAR SUNNY","No temperature data, thermameter broken",2015-01-06,"2014-2015",2015,0,0,0,0,0,0,0,0
"5","Mill Creek","MIL 1","RR-MIL-000.00:002.46","DD JS","SS",NA,4,"CLEAR SUNNY","3 possible old redds observed throughout reach- unmeasurable so crew did not call them redds",2015-01-07,"2014-2015",2015,0,0,0,0,0,0,0,0
"6","Willow Creek","WIL 4","RR-WIL-006.15:009.16","DD MW","SS",NA,99,"OVERCAST","4 TEST REDDS BELOW 1st fish",2015-01-08,"2014-2015",2015,0,0,0,0,0,0,0,0
"7","Santa Rosa Creek","SAN 8","RR-SAN-025.32:028.22","AN","SS",NA,99,"OVERCAST","NO FISH NO REDDS",2015-01-08,"2014-2015",2015,0,0,0,0,0,0,0,0
"8","Mark West Creek","MAR 14","RR-MAR-040.18:042.85","WB BCB","SS",NA,99,"PARTLY CLOUDY","no fish or redds observed. 1 dead smolt",2015-01-12,"2014-2015",2015,0,0,0,0,0,0,0,0
"9","Mark West Creek","MAR 11","RR-MAR-030.60:033.75","JB ALJ","SS",NA,99,"CLEAR SUNNY",NA,2015-01-12,"2014-2015",2015,0,0,0,0,0,0,0,0
"10","Green Valley Creek","GRE 2","RR-GRE-012.49:016.09","EM ZR","SS",NA,99,"OVERCAST",NA,2015-01-15,"2014-2015",2015,0,0,0,0,0,0,0,0
